1.09.2010,31.07.2010,30.06.2010,1.06.2010,1.05.2010,1.04.2010,4.03.2010,4.02.2010,2.01.2010,2.12.2009,3.11.2009,2.10.2009,2.09.2009,3.08.2009,1.07.2009,1.06.2009,5.05.2009,1.04.2009,3.03.2009,2.02.2009,2.01.2009
58893.06,58747.59,58600.66,58415.1,58162.1,57596.71,56660.635,55386.8,53095.5,51414.9,50436.65,49464.15,49257.25,49120.712,48962.33,48785.09,48526.9,48006.94,46978.88,45641.92,43998.2
112572,111341,109995.2,108599.5,107253.4,105951,104470.3,103101,101112.4,99109.4,97589.4,96060.6,94662.9,93340.4,91991.9,90401.7,88868.3,87298.8,85882.3,84063.6,81967.3
46326.4,45944.2,45579.7,45169.5,44746.2,44314.9,43744.1,43192.5,42372.5,41605.1,41169.9,40691.3,40304.7,39918.2,39507.1,39062.2,38580.3,38082.2,37609.2,36778,35763.8
375714,375714,375714,375711,375177,371547,363857,352768,331675,316879,308983,301075,300600,300600,300600,300600,299784,296551,288057,276371,261587
756.53,756.53,756.53,756.53,756.53,756.53,755.34,743.14,714.84,707.71,668.09,604.83,600.78,600.78,600.78,600.78,600.78,600.6,600.55,599.97,569.7
7998.74,7941.36,7876.65,7777.19,7662.25,7561.54,7464.06,7374.08,7255.71,7154.27,7065.37,6986.91,6910.4,6836.44,6757.76,6659.41,6558.78,6437.9,6347,6252.5,6145
1283.32,1271.95,1260.78,1244.67,1226.57,1209.68,1191.25,1173.44,1151.15,1130.66,1113.9,1100.14,1087.39,1076.51,1064.15,1049.26,1033.6,1016,1001,988,976
2023.47,1998.46,1815.05,1792.82,1792.82,1749.04,1749.04,1749.04,1749.04,1749.04,1749.04,1749.04,1663.91,1535.55,1417.49,1415,1342.02,1206.2,1206,1206.01,1206.01
2254.15,2254.15,2254.15,2254.15,2254.15,2221.85,2180.76,2144.88,2106.61,2022.71,1934.78,1865,1858.42,1858.42,1858.42,1858.42,1827.4,1737.5,1662.89,1593.52,1536.4
21.43,21.43,21.34,21.25,21.16,21.01,20.88,20.79,20.67,20.61,20.48,20.35,20.26,20.23,20.16,20.03,19.9,19.7,19.64,19.57,19.5
259.03,259.03,259.02,258.98,258.98,258.95,258.94,258.93,258.91,258.91,258.89,258.88,258.86,258.85,258.84,258.83,258.8,258.7,258.77,258.76,258.7
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1370.2,1369.5,1331,1319.4,1313.2,1306.6,1294.4,1284.1,1212.2,1170.8,1156.9,1135,1095.5,1083.6,1079.4,1061,1056.1,1053.3,1047.5,1041.5,1001.2
3544.19,3544.19,3544.19,3544.19,3543.55,3538.37,3508.65,3463.55,3422.57,3383.64,3336.04,3294.24,3293.93,3293.93,3293.93,3293.93,3293.92,3258.7,3183.9,3110.49,3039.7
381.21,373.86,368.01,361.14,354.45,348.19,342.21,336.42,329.27,322.42,314.9,308.27,300.89,295.78,287.73,281.31,275.03,269,263.99,258.19,254
355.89,351.18,347.77,343.2,337.58,332.77,327.05,321.63,315.69,310.03,304.2,299.55,294.23,290.93,285.95,281.57,277.05,272.1,267.3,262.73,259
,,,,,,,,,,,,,,,,,,,,
198.15,194.86,192.89,188.72,185.26,181.8,178.05,173.88,169.09,165.87,160.37,156.48,153.41,151.81,148.39,144.62,141.3,138.3,134.95,131.42,129
8810.8,8690.4,8575.9,8443,8299.9,8160.8,8012.3,7867.3,7699.3,7535.7,7356.7,7221.5,7089,6974.4,6836.2,6707.9,6589.1,6472.2,6346.1,6248.7,6114.9
8343.44,8343.27,8343.1,8342.93,8294.8,8063.52,7883.94,7724.35,7585.42,7401.27,7171.49,6908.55,6890.7,6890.7,6890.7,6890.7,6809.09,6633.5,6455.53,6292.04,6137.7
269.26,265.72,261.16,256.94,251.95,246.96,243.14,240.09,235.942,232.01,228.43,224.29,220.49,216.42,212.03,208.31,203.88,199.3,195.91,192.35,188.8
2710.55,2669.95,2625.34,2584.92,2541.24,2498.44,2458.29,2420.45,2372.29,2327.2,2285.85,2238.18,2192.6,2150.81,2100.5,2056.52,2014.9,1964,1923,1882,1836
2490.57,2440.63,2408.69,2364.49,2323.46,2282.17,2243.44,2207.77,2161.74,2118.21,2078.88,2034.08,1991,1951.23,1905.45,1865,1825.09,1780,1741,1702,1660
,,,,,,,,,,,,,,,,,,,,
25170.1,24825.8,24431.6,24062.7,23645.8,23251.8,22861,22478.6,21976.2,21575.6,20993,20605.5,20264.8,19945.5,19604.7,19236.8,18878.4,18476.5,18155.7,17842.3,17446.9
3676.43,3676.43,3676.43,3676.4,3668.66,3631.33,3596.05,3567.51,3534.68,3505.9,3477.01,3444.94,3443.12,3443.12,3443.12,3443.12,3430.15,3388.8,3344.42,3309.32,3276.3
85.36,85.19,85.19,85.18,85.16,85.14,85.02,85.02,85.02,85.02,84.99,84.99,84.99,84.99,84.99,84.99,85,85,84.99,84.99,84.99
